LIB,Filename,Entry-point,1,2,2-s,3,3-s,1+2,1+2_s,1+3,1+3_s,1+2+3,loc,all-sens pos,ct-verify pass?,Taint pass?,taint res,High taint pass?,Is_high_taint_1_2_pass,ept7
OpenSSL,tls1_cbc,remove_padding,0.0783798694610595,7.296351194381714,7.508305549621582,7.4957594871521,7.509047031402588,7.415480136871338,7.68009352684021,7.628502368927002,7.678711175918579,7.638548851013184,1060,72,Verified!,Still Have Leak!,6,Verified!,Verified!,
OpenSSL,ssl3_cbc,digest_record,1.331634759902954,23.89592671394348,25.663519144058228,26.73746657371521,35.83839583396912,1.1171517372131348,1.3128418922424316,1.3636488914489746,1.289665937423706,1.3677804470062256,13089,198,Verified!,Verified!,0,Still Have Leak!,Verified!,
OpenSSL,ssl3_cbc,remove_padding,0.054833173751831,6.897976636886597,7.337134122848511,7.250559568405151,7.434448957443237,0.0376632213592529,0.0454168319702148,0.0485007762908935,0.059755802154541,0.051701545715332,351,14,Verified!,Verified!,0,Verified!,Verified!,
OpenSSL,ssl3_cbc,copy_mac,0.0590882301330566,7.058845281600952,7.516664505004883,7.88639497756958,7.340398788452148,0.0454449653625488,0.0513293743133544,0.045764684677124,0.0485599040985107,0.0477488040924072,452,15,Verified!,Verified!,0,Verified!,Verified!,
MEE-CBC,mee-cbc,mee_cbc,1.7765016555786133,65.52287554740906,80.09140944480896,134.72270107269287,204.77206182479856,1.443730115890503,1.7995691299438477,1.1698360443115234,1.783968210220337,1.7738463878631592,22036,396,Verified!,Verified!,0,Verified!,Verified!,
hacl,HMAC,Hacl_HMAC_compute_sha2_256,125.17908477783205,,,,,108.7952024936676,,121.83689951896667,,,27404,1673,,,0,,Still Have Leak!,
hacl,HMAC,Hacl_HMAC_compute_blake2b_32,183.5438175201416,,,,,177.4806408882141,,179.0978965759277,,,68502,5289,,,0,,Still Have Leak!,
hacl,HMAC,Hacl_HMAC_legacy_compute_sha1,215.9579794406891,,,,,104.39807105064392,,132.89164924621582,,,2149,111,,,0,,Still Have Leak!,
hacl,HMAC,Hacl_HMAC_compute_blake2s_32,197.22245836257932,,,,,169.7126784324646,,175.90594339370728,,,56465,4309,,,0,,Still Have Leak!,
hacl,HMAC,Hacl_HMAC_compute_sha2_384,115.6677315235138,,,,,109.18835496902466,,116.67344212532043,,,34620,2183,,,0,,Still Have Leak!,
hacl,HMAC,Hacl_HMAC_compute_sha2_512,117.03234839439392,,,,,122.85028386116028,,116.80918908119202,,,34565,2177,,,0,,Still Have Leak!,
HACL,ChaCha20,Hacl_Chacha20_chacha20_decrypt,0.1350176334381103,27.557069778442383,37.52612781524658,30.50599455833435,254.87842774391171,0.116898775100708,0.1196451187133789,0.1318762302398681,0.1302833557128906,0.1320984363555908,3303,180,Verified!,Verified!,0,Verified!,Verified!,
HACL,ChaCha20,Hacl_Chacha20_chacha20_encrypt,0.1432480812072754,28.650739431381226,33.92263627052307,30.648887872695923,82.641188621521,0.1343183517456054,0.1366608142852783,0.1456232070922851,0.1378195285797119,0.1420032978057861,3285,180,Verified!,Verified!,0,Verified!,Verified!,
HACL,Curve25519-64,Hacl_Curve25519_64_ecdh,0.1060760021209716,8.962555408477783,8.86323618888855,8.937379598617554,8.886675596237183,0.1035530567169189,0.1025171279907226,0.1064484119415283,0.0920002460479736,0.1051230430603027,1813,70,Verified!,Verified!,0,Verified!,Verified!,
HACL,Curve25519-64,Hacl_Curve25519_64_scalarmult,0.0873963832855224,8.827890872955322,8.801060438156128,8.90774130821228,8.80044937133789,0.0909416675567627,0.1020214557647705,0.0893871784210205,0.0917587280273437,0.0926036834716796,1619,67,Verified!,Verified!,0,Verified!,Verified!,
HACL,Curve25519-64,Hacl_Curve25519_64_secret_to_public,0.0990312099456787,8.826950311660767,9.283674240112305,9.2599937915802,9.31070613861084,0.0945990085601806,0.0934956073760986,0.1051228046417236,0.0874645709991455,0.097754955291748,1701,102,Verified!,Verified!,0,Verified!,Verified!,
HACL,Poly1305,Hacl_Poly1305_32_poly1305_mac,0.0954821109771728,8.881546974182129,9.086793661117554,9.28045415878296,9.66572093963623,0.0864455699920654,0.0894334316253662,0.0826563835144043,0.085294485092163,0.0861804485321044,2240,121,Verified!,Verified!,0,Verified!,Verified!,
HACL,Poly1305,Hacl_Poly1305_128_poly1305_mac,0.0429809093475341,6.992521286010742,7.025514841079712,7.05114483833313,6.971415996551514,0.0380496978759765,0.0370397567749023,0.0457367897033691,0.045799970626831,0.0395493507385253,72,0,Verified!,Verified!,0,Verified!,Verified!,
