LIB,Filename,Entry-point,2,2_s,3,3-s,1+2,1+2_s,1+3,1+3_s
OpenSSL,tls1_cbc,remove_padding,0.9167277812957764,0.9509875774383544,0.960186004638672,0.952648401260376,0.8880963325500488,0.9248762130737304,0.9145851135253906,0.9272506237030028
OpenSSL,ssl3_cbc,digest_record,10.004536151885986,11.511940240859984,12.557899951934814,21.812462329864506,8.40280032157898,8.827224016189575,9.172131538391112,9.13136100769043
OpenSSL,ssl3_cbc,remove_padding,0.829068660736084,0.907712697982788,0.9239404201507568,0.8908994197845459,0.8681609630584717,0.883603572845459,0.888908863067627,0.8728623390197754
OpenSSL,ssl3_cbc,copy_mac,0.8998215198516846,0.939756155014038,1.3821697235107422,1.003577709197998,0.9039268493652344,0.9237074851989746,0.9889116287231444,0.9320354461669922
MEE-CBC,mee-cbc,mee_cbc,43.00300121307373,57.27602744102478,111.68670535087584,182.0095820426941,25.12751030921936,36.94033694267273,32.49473786354065,31.74513554573059
hacl,HMAC,Hacl_HMAC_compute_sha2_256,,,,,0.7496190071105957,,0.9009408950805664,
hacl,HMAC,Hacl_HMAC_compute_blake2b_32,,,,,1.4411475658416748,,1.663848638534546,
hacl,HMAC,Hacl_HMAC_legacy_compute_sha1,,,,,0.4802572727203369,,0.4754281044006347,
hacl,HMAC,Hacl_HMAC_compute_blake2s_32,,,,,1.5791871547698977,,1.2911100387573242,
hacl,HMAC,Hacl_HMAC_compute_sha2_384,,,,,1.137250900268555,,0.9355230331420898,
hacl,HMAC,Hacl_HMAC_compute_sha2_512,,,,,1.181814670562744,,0.8962821960449219,
HACL,ChaCha20,Hacl_Chacha20_chacha20_decrypt,18.979346990585327,28.855560779571533,21.96302795410156,246.29741311073303,17.070156574249268,20.668052911758423,18.6487033367157,19.63956952095032
HACL,ChaCha20,Hacl_Chacha20_chacha20_encrypt,19.849292039871216,25.24464726448059,22.16259980201721,74.15488886833191,17.477814197540283,20.0573468208313,18.48267865180969,19.23802065849304
HACL,Curve25519-64,Hacl_Curve25519_64_ecdh,1.523712396621704,1.553647518157959,1.560401439666748,1.5243337154388428,1.3994011878967283,1.386747121810913,1.388371229171753,1.4120428562164309
HACL,Curve25519-64,Hacl_Curve25519_64_scalarmult,1.4619591236114502,1.513087511062622,1.539283037185669,1.530501127243042,1.4105236530303955,1.5246295928955078,1.4404172897338867,1.4523682594299316
HACL,Curve25519-64,Hacl_Curve25519_64_secret_to_public,1.4491565227508545,1.6823780536651611,1.6589014530181885,1.7352633476257324,1.4424035549163818,1.4971771240234375,1.4977741241455078,1.4613051414489746
